Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
C5AD Double Extra Large,c5ad.2xlarge,16,8,300 GB NVMe SSD,10.0,0.344
M5A Double Extra Large,m5a.2xlarge,32,8,EBS only,10.0,0.344
I7IE Metal-48xl,i7ie.metal-48xl,1536,192,120000 GB (16×7500 GB NVMe SSD),100.0,24.9504
M5 General Purpose Double Extra Large,m5.2xlarge,32,8,EBS only,10.0,0.384
C7I 48xlarge,c7i.48xlarge,384,192,EBS only,50.0,8.568
R6IDN Large,r6idn.large,16,2,118 GB NVMe SSD,25.0,0.1954
M7I-FLEX Large,m7i-flex.large,8,2,EBS only,12.5,0.0958
R5N 16xlarge,r5n.16xlarge,512,64,EBS only,75.0,4.768
M7A Metal-48xl,m7a.metal-48xl,768,192,EBS only,50.0,11.1283
M7A Large,m7a.large,8,2,EBS only,12.5,0.1159
M6IDN Double Extra Large,m6idn.2xlarge,32,8,474 GB NVMe SSD,40.0,0.6365
M6GD 16xlarge,m6gd.16xlarge,256,64,3800 GB (2×1900 GB NVMe SSD),25.0,2.8928
R7A 48xlarge,r7a.48xlarge,1536,192,EBS only,50.0,14.6064
M7A Quadruple Extra Large,m7a.4xlarge,64,16,EBS only,12.5,0.9274
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,64,16,600 GB NVMe SSD,25.0,1.624
I7I 16xlarge,i7i.16xlarge,512,64,15000 GB (4×3750 GB NVMe SSD),37.5,6.0403
M6GD 12xlarge,m6gd.12xlarge,192,48,2850 GB (2×1425 GB NVMe SSD),20.0,2.1696
X1E Extra Large,x1e.xlarge,122,4,120 GB SSD,10.0,0.834
T3 Double Extra Large,t3.2xlarge,32,8,EBS only,5.0,0.3328
R6G Quadruple Extra Large,r6g.4xlarge,128,16,EBS only,10.0,0.8064
H1 Double Extra Large,h1.2xlarge,32,8,2000 GB HDD,10.0,0.468
M6A Extra Large,m6a.xlarge,16,4,EBS only,12.5,0.1728
C6IN 24xlarge,c6in.24xlarge,192,96,EBS only,150.0,5.4432
I7I 12xlarge,i7i.12xlarge,384,48,11250 GB (3×3750 GB NVMe SSD),28.0,4.5302
R5DN 12xlarge,r5dn.12xlarge,384,48,1800 GB (2×900 GB NVMe SSD),50.0,4.008
C5 High-CPU 12xlarge,c5.12xlarge,96,48,EBS only,12.0,2.04
D2 Double Extra Large,d2.2xlarge,61,8,12288 GB (6×2048 GB HDD),51.96050223214286,1.38
M5N Metal,m5n.metal,384,96,EBS only,100.0,5.712
M7I Metal-24xl,m7i.metal-24xl,384,96,EBS only,37.5,4.8384
C7I-FLEX Eight Extra Large,c7i-flex.8xlarge,64,32,EBS only,12.5,1.3566
M6IDN 32xlarge,m6idn.32xlarge,512,128,7600 GB (4×1900 GB NVMe SSD),200.0,10.1837
M7I 24xlarge,m7i.24xlarge,384,96,EBS only,37.5,4.8384
I7I 48xlarge,i7i.48xlarge,1536,192,45000 GB (12×3750 GB NVMe SSD),100.0,18.121
M5 General Purpose Large,m5d.large,8,2,75 GB NVMe SSD,10.0,0.113
