Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
X2IEZN Metal,x2iezn.metal,1536,48,EBS only,100.0,10.008
P3DN 24xlarge,p3dn.24xlarge,768,96,1800 GB (2×900 GB NVMe SSD),100.0,31.212
C3 High-CPU Eight Extra Large,c3.8xlarge,60,32,640 GB (2×320 GB SSD),10.0,1.68
I8G Large,i8g.large,16,2,468 GB NVMe SSD,10.0,0.1716
X8G Eight Extra Large,x8g.8xlarge,512,32,EBS only,15.0,3.1264
M3 General Purpose Medium,m3.medium,3,1,4 GB SSD,51.96050223214286,0.067
I8G 16xlarge,i8g.16xlarge,512,64,15000 GB (4×3750 GB NVMe SSD),37.5,5.4912
X8G Metal-24xl,x8g.metal-24xl,1536,96,EBS only,40.0,9.3792
C3 High-CPU Extra Large,c3.xlarge,7,4,80 GB (2×40 GB SSD),51.96050223214286,0.21
D3EN 6xlarge,d3en.6xlarge,96,24,167760 GB (12×13980 GB NVMe HDD),40.0,3.154
U7I-12TB 224xlarge,u7i-12tb.224xlarge,12288,896,EBS only,100.0,135.2277
M1 General Purpose Extra Large,m1.xlarge,15,4,1680 GB (4×420 GB HDD),51.96050223214286,0.35
HPC7G Eight Extra Large,hpc7g.8xlarge,128,32,EBS only,200.0,1.6832
M3 General Purpose Extra Large,m3.xlarge,15,4,80 GB (2×40 GB SSD),51.96050223214286,0.266
M1 General Purpose Medium,m1.medium,3,1,410 GB HDD,51.96050223214286,0.087
U7IN-16TB 224xlarge,u7in-16tb.224xlarge,16384,896,EBS only,200.0,180.4756
X2IEZN Eight Extra Large,x2iezn.8xlarge,1024,32,EBS only,75.0,6.672
M1 General Purpose Small,m1.small,1,1,160 GB HDD,51.96050223214286,0.044
M1 General Purpose Large,m1.large,7,2,840 GB (2×420 GB HDD),51.96050223214286,0.175
I8G 24xlarge,i8g.24xlarge,768,96,22500 GB (6×3750 GB NVMe SSD),56.25,8.2368
F2 48xlarge,f2.48xlarge,2048,192,7520 GB (8×940 GB NVMe SSD),100.0,15.84
I8G Extra Large,i8g.xlarge,32,4,937 GB NVMe SSD,10.0,0.3432
D3EN Quadruple Extra Large,d3en.4xlarge,64,16,111840 GB (8×13980 GB NVMe HDD),25.0,2.103
F1 Quadruple Extra Large,f1.4xlarge,244,16,940 GB NVMe SSD,10.0,3.3
F1 Double Extra Large,f1.2xlarge,122,8,470 GB NVMe SSD,10.0,1.65
G2 Double Extra Large,g2.2xlarge,15,8,EBS only,51.96050223214286,0.65
HPC7G 16xlarge,hpc7g.16xlarge,128,64,EBS only,200.0,1.6832
U-18TB1 Metal,u-18tb1.metal,18432,448,EBS only,100.0,
G5G Metal,g5g.metal,128,64,EBS only,25.0,2.744
X8G 24xlarge,x8g.24xlarge,1536,96,EBS only,40.0,9.3792
VT1 3xlarge,vt1.3xlarge,24,12,EBS only,3.12,0.65
X8G 12xlarge,x8g.12xlarge,768,48,EBS only,22.5,4.6896
I8G 48xlarge,i8g.48xlarge,1536,192,45000 GB (12×3750 GB NVMe SSD),100.0,16.4736
X8G Medium,x8g.medium,16,1,EBS only,12.5,0.0977
X8G 16xlarge,x8g.16xlarge,1024,64,EBS only,30.0,6.2528
P4DE 24xlarge,p4de.24xlarge,1152,96,8000 GB (8×1000 GB NVMe SSD),4.0,27.4471
X8G Double Extra Large,x8g.2xlarge,128,8,EBS only,15.0,0.7816
HPC7G Quadruple Extra Large,hpc7g.4xlarge,128,16,EBS only,200.0,1.6832
I8G Quadruple Extra Large,i8g.4xlarge,128,16,3750 GB NVMe SSD,25.0,1.3728
G2 Eight Extra Large,g2.8xlarge,60,32,EBS only,51.96050223214286,2.6
X8G Metal-48xl,x8g.metal-48xl,3072,192,EBS only,50.0,18.7584
M2 High Memory Quadruple Extra Large,m2.4xlarge,68,8,1680 GB (2×840 GB HDD),51.96050223214286,0.98
G5G 16xlarge,g5g.16xlarge,128,64,EBS only,25.0,2.744
M2 High Memory Extra Large,m2.xlarge,17,2,420 GB HDD,51.96050223214286,0.245
C1 High-CPU Medium,c1.medium,1,2,350 GB HDD,51.96050223214286,0.13
I8G Eight Extra Large,i8g.8xlarge,256,32,7500 GB (2×3750 GB NVMe SSD),25.0,2.7456
I8G Metal-24xl,i8g.metal-24xl,768,96,22500 GB (6×3750 GB NVMe SSD),56.25,8.2368
C1 High-CPU Extra Large,c1.xlarge,7,8,1680 GB (4×420 GB HDD),51.96050223214286,0.52
G5G Double Extra Large,g5g.2xlarge,16,8,EBS only,10.0,0.556
X8G Quadruple Extra Large,x8g.4xlarge,256,16,EBS only,15.0,1.5632
M2 High Memory Double Extra Large,m2.2xlarge,34,4,850 GB HDD,51.96050223214286,0.49
MAC2-M1ULTRA Metal,mac2-m1ultra.metal,128,20,EBS only,10.0,
G5G Quadruple Extra Large,g5g.4xlarge,32,16,EBS only,10.0,0.828
High Memory Cluster Eight Extra Large,cr1.8xlarge,244,32,EBS only,10.0,3.5
I8G 12xlarge,i8g.12xlarge,384,48,11250 GB (3×3750 GB NVMe SSD),28.12,4.1184
F1 16xlarge,f1.16xlarge,976,64,3760 GB (4×940 GB NVMe SSD),25.0,13.2
G5G Extra Large,g5g.xlarge,8,4,EBS only,10.0,0.42
VT1 6xlarge,vt1.6xlarge,48,24,EBS only,6.25,1.3
U-24TB1 Metal,u-24tb1.metal,24576,448,EBS only,100.0,
G5G Eight Extra Large,g5g.8xlarge,64,32,EBS only,12.0,1.372
High Storage Eight Extra Large,hs1.8xlarge,117,16,EBS only,10.0,
T1 Micro,t1.micro,0,1,EBS only,51.96050223214286,0.02
Cluster Compute Eight Extra Large,cc2.8xlarge,60,32,EBS only,10.0,
DL2Q 24xlarge,dl2q.24xlarge,768,96,EBS only,100.0,
C6GN Metal,c6gn.metal,128,64,EBS only,100.0,
